episode,reward,success,epsilon,steps
117,0.0,1,0.5562889678716474,9
118,0.0,1,0.5535075230322891,22
119,0.0,1,0.5507399854171277,12
120,0.0,1,0.547986285490042,4
121,0.0,1,0.5452463540625918,8
122,0.0,1,0.5425201222922789,6
123,0.0,1,0.5398075216808175,7
124,0.0,1,0.5371084840724134,5
125,0.0,1,0.5344229416520513,4
126,0.0,1,0.531750826943791,11
127,0.0,1,0.5290920728090721,5
128,0.0,1,0.5264466124450268,3
129,0.0,1,0.5238143793828016,10
130,0.0,1,0.5211953074858876,14
131,0.0,1,0.5185893309484582,8
132,0.0,1,0.5159963842937159,12
133,0.0,1,0.5134164023722473,19
134,0.0,1,0.510849320360386,16
135,0.0,1,0.5082950737585841,7
136,0.0,1,0.5057535983897912,7
137,0.0,1,0.5032248303978422,2
138,0.0,1,0.500708706245853,2
139,0.0,1,0.4982051627146237,4
140,0.0,1,0.49571413690105054,16
141,0.0,1,0.4932355662165453,2
142,0.0,1,0.4907693883854626,10
143,0.0,1,0.4883155414435353,16
144,0.0,1,0.4858739637363176,11
145,0.0,1,0.483444593917636,5
146,0.0,1,0.4810273709480478,14
147,0.0,1,0.47862223409330756,12
148,0.0,1,0.47622912292284103,7
149,0.0,1,0.4738479773082268,8
150,0.0,1,0.47147873742168567,11
151,0.0,1,0.46912134373457726,10
152,0.0,1,0.46677573701590436,9
153,0.0,1,0.46444185833082485,14
154,0.0,1,0.46211964903917074,14
155,0.0,1,0.4598090507939749,4
156,0.0,1,0.457510005540005,9
157,0.0,1,0.45522245551230495,14
158,0.0,1,0.4529463432347434,29
159,0.0,1,0.4506816115185697,20
160,0.0,1,0.4484282034609769,4
161,0.0,1,0.446186062443672,14
162,0.0,1,0.4439551321314536,9
163,0.0,1,0.4417353564707963,2
164,0.0,1,0.43952667968844233,5
165,0.0,1,0.43732904629000013,9
166,0.0,1,0.4351424010585501,6
167,0.0,1,0.43296668905325736,2
168,0.0,1,0.43080185560799106,11
169,0.0,1,0.4286478463299511,8
170,0.0,1,0.42650460709830135,3
171,0.0,1,0.42437208406280985,7
172,0.0,1,0.4222502236424958,5
173,0.0,1,0.42013897252428334,22
174,0.0,1,0.4180382776616619,18
175,0.0,1,0.4159480862733536,5
176,0.0,1,0.41386834584198684,8
177,0.0,1,0.4117990041127769,3
178,0.0,1,0.40974000909221303,3
179,0.0,1,0.40769130904675194,3
180,0.0,1,0.40565285250151817,13
181,0.0,1,0.4036245882390106,9
182,0.0,1,0.4016064652978155,9
183,0.0,1,0.3995984329713264,7
184,0.0,1,0.3976004408064698,2
185,0.0,1,0.39561243860243744,8
186,0.0,1,0.3936343764094253,2
187,0.0,1,0.39166620452737816,2
188,0.0,1,0.3897078735047413,4
189,0.0,1,0.3877593341372176,32
190,0.0,1,0.3858205374665315,22
191,0.0,1,0.38389143477919885,4
192,0.0,1,0.3819719776053028,6
193,0.0,1,0.3800621177172763,10
194,0.0,1,0.37816180712868996,3
195,0.0,1,0.37627099809304654,35
196,0.0,1,0.3743896431025813,2
197,0.0,1,0.37251769488706843,15
198,0.0,1,0.3706551064126331,4
199,0.0,1,0.36880183088056995,2
200,0.0,1,0.3669578217261671,4
201,0.0,1,0.36512303261753626,14
202,0.0,1,0.3632974174544486,8
203,0.0,1,0.3614809303671764,4
204,0.0,1,0.3596735257153405,13
205,0.0,1,0.3578751580867638,10
206,0.0,1,0.35608578229633,10
207,0.0,1,0.3543053533848483,3
208,0.0,1,0.35253382661792404,3
209,0.0,1,0.3507711574848344,19
210,0.0,1,0.34901730169741024,2
211,0.0,1,0.3472722151889232,6
212,0.0,1,0.3455358541129786,3
213,1.0,1,0.3438081748424137,6
214,0.0,1,0.3420891339682016,34
215,1.0,1,0.3403786882983606,12
216,0.0,1,0.3386767948568688,11
217,0.0,1,0.33698341088258443,18
218,0.0,1,0.3352984938281715,2
219,0.0,1,0.33362200135903064,3
220,0.0,1,0.33195389135223546,5
221,0.0,1,0.3302941218954743,4
222,0.0,1,0.32864265128599696,9
223,0.0,1,0.326999438029567,3
224,0.0,1,0.3253644408394192,15
225,0.0,1,0.3237376186352221,7
226,0.0,1,0.322118930542046,4
227,1.0,1,0.32050833588933575,8
228,0.0,1,0.31890579420988907,22
229,0.0,1,0.3173112652388396,2
230,1.0,1,0.3157247089126454,9
231,0.0,1,0.3141460853680822,9
232,0.0,1,0.3125753549412418,15
233,0.0,1,0.31101247816653554,4
234,1.0,1,0.30945741577570285,23
235,1.0,1,0.3079101286968243,29
236,1.0,1,0.3063705780533402,14
237,0.0,1,0.30483872516307353,12
238,0.0,1,0.3033145315372582,2
239,0.0,1,0.3017979588795719,7
240,1.0,1,0.30028896908517405,8
241,0.0,1,0.2987875242397482,7
242,0.0,1,0.29729358661854943,22
243,0.0,1,0.29580711868545667,19
244,0.0,1,0.2943280830920294,13
245,0.0,1,0.29285644267656924,16
246,0.0,1,0.2913921604631864,3
247,0.0,1,0.28993519966087045,4
248,0.0,1,0.2884855236625661,13
249,0.0,1,0.28704309604425327,2
250,0.0,1,0.285607880564032,2
251,0.0,1,0.28417984116121187,2
252,0.0,1,0.2827589419554058,9
253,0.0,1,0.28134514724562876,3
254,0.0,1,0.2799384215094006,16
255,0.0,1,0.27853872940185365,9
256,0.0,1,0.27714603575484437,15
257,0.0,1,0.2757603055760701,12
258,0.0,1,0.2743815040481898,5
259,0.0,1,0.2730095965279488,5
260,0.0,1,0.27164454854530906,6
261,0.0,1,0.2702863258025825,9
262,0.0,1,0.2689348941735696,7
263,0.0,1,0.26759021970270175,4
264,0.0,1,0.2662522686041882,4
265,0.0,1,0.2649210072611673,17
266,0.0,1,0.26359640222486147,2
267,0.0,1,0.26227842021373715,12
268,0.0,1,0.2609670281126685,3
269,0.0,1,0.25966219297210513,5
270,0.0,1,0.2583638820072446,6
271,0.0,1,0.2570720625972084,6
272,0.0,1,0.25578670228422234,5
273,0.0,1,0.25450776877280124,3
274,0.0,1,0.2532352299289372,2
275,0.0,1,0.2519690537792925,3
276,0.0,1,0.2507092085103961,2
277,0.0,1,0.2494556624678441,7
278,0.0,1,0.24820838415550486,11
279,0.0,1,0.24696734223472733,5
280,0.0,1,0.2457325055235537,12
281,0.0,1,0.24450384299593592,2
282,0.0,1,0.24328132378095624,8
283,0.0,1,0.24206491716205145,17
284,0.0,1,0.2408545925762412,3
285,0.0,1,0.23965031961336,9
286,0.0,1,0.2384520680152932,4
287,0.0,1,0.23725980767521673,9
288,0.0,1,0.23607350863684065,7
289,0.0,1,0.23489314109365644,5
290,0.0,1,0.23371867538818816,16
291,0.0,1,0.23255008201124722,3
292,0.0,1,0.231387331601191,2
293,0.0,1,0.23023039494318503,27
294,0.0,1,0.2290792429684691,10
295,0.0,1,0.22793384675362674,9
296,0.0,1,0.22679417751985861,18
297,0.0,1,0.22566020663225933,31
298,0.0,1,0.22453190559909803,38
299,0.0,1,0.22340924607110255,38
300,0.0,1,0.22229219984074702,16
301,0.0,1,0.2211807388415433,21
302,0.0,1,0.22007483514733558,2
303,1.0,1,0.2189744609715989,9
304,0.0,1,0.2178795886667409,7
305,0.0,1,0.2167901907234072,23
306,0.0,1,0.21570623976979014,11
307,0.0,1,0.21462770857094118,11
308,0.0,1,0.21355457002808648,13
309,0.0,1,0.21248679717794605,20
310,0.0,1,0.21142436319205632,11
311,0.0,1,0.21036724137609603,6
312,0.0,1,0.20931540516921554,10
313,0.0,1,0.20826882814336947,2
314,0.0,1,0.20722748400265262,14
315,0.0,1,0.20619134658263935,9
316,0.0,1,0.20516038984972615,16
317,0.0,1,0.2041345879004775,8
318,0.0,1,0.2031139149609751,24
319,0.0,1,0.20209834538617025,23
320,0.0,1,0.2010878536592394,24
321,0.0,1,0.2000824143909432,21
322,0.0,1,0.19908200231898848,10
323,0.0,1,0.19808659230739353,6
324,0.0,1,0.19709615934585656,18
325,0.0,1,0.19611067854912728,16
326,0.0,1,0.19513012515638165,16
327,0.0,1,0.19415447453059972,37
328,0.0,1,0.19318370215794672,19
329,0.0,1,0.192217783647157,8
330,0.0,1,0.1912566947289212,13
331,1.0,1,0.1903004112552766,11
332,0.0,1,0.18934890919900021,9
333,0.0,1,0.18840216465300522,10
334,0.0,1,0.18746015382974018,15
335,0.0,1,0.1865228530605915,14
336,0.0,1,0.18559023879528855,8
